Song,Artist,Lyrics,Mood,Album
"Vampire","Olivia Rodrigo","I used to think I was smart, but you made me look so naive. The way you sold me for parts as you sunk your teeth into me. Oh, bloodsucker, fame fucker, bleedin' me dry like a goddamn vampire. And every girl I ever talked to told me you were bad, bad news. You called them crazy; God, I hate the way I called them crazy too. You're so convincing. How do you lie without flinching? Ooh, what a mesmerizing, paralyzing, fucked-up little thrill. Can't figure out just how you do it, and God knows I never will. Went for me and not her 'cause girls your age know better.","angry","GUTS"
"Flowers","Miley Cyrus","I can buy myself flowers, write my name in the sand. Talk to myself for hours; say things you don't understand. I can take myself dancing, and I can hold my own hand. Yeah, I can love me better than you can. Can love me better, I can love me better, baby. Paint my nails cherry red, match the roses that you left. No remorse, no regret; I forgive every word you said.","happy","Endless Summer Vacation"
"Calm Down","Rema & Selena Gomez","Baby, calm down, calm down. Girl, this your body e put my heart for lockdown. For lockdown, oh, lockdown. Girl, you sweet like Fanta, Fanta. If I tell you say I love you no dey form yanga, oh, yanga. No, tell me no, no, no, no, whoa-whoa, whoa-whoa. Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh. Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo, whoa-whoa-whoa-whoa-whoa. You got me like whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa. Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo, whoa-whoa-whoa-whoa-whoa, hmm. I see this fine girl for my party; she wear yellow. Every other girl dey do too much, but this girl mellow. Naim I dey find situation I go use take tell am hello. Finally, I find a way to talk to the girl but she no wan follow.","calm","Rave & Roses"
"Paint The Town Red","Doja Cat","Yeah, bitch, I said what I said. I'd rather be famous instead (walk on by). I let all that get to my head; I don't care, I paint the town red (walk on by). Bitch, I said what I said. I'd rather be famous instead (walk on by). I let all that get to my head; I don't care, I paint the town red (walk on by). Mm, she the devil; she a bad lil' bitch, she a rebel (walk on by). She put her foot to the pedal; it'll take a whole lot for me to settle (walk on by). Mm, she the devil; she a bad lil' bitch, she a rebel (walk on by). She put her foot to the pedal; it'll take a whole lot for me to settle (walk on by).","confident","Scarlet"
"Cruel Summer","Taylor Swift","Fever dream high in the quiet of the night. You know that I caught it (oh yeah, you're right, I want it). Bad, bad boy, shiny toy with a price. You know that I bought it (oh yeah, you're right, I want it). Killing me slow, out the window. I'm always waiting for you to be waiting below. Devils roll the dice, angels roll their eyes. What doesn't kill me makes me want you more. And it's new, the shape of your body. It's blue, the feeling I've got. And it's ooh, whoa-oh. It's a cruel summer. 'It's cool,' that's what I tell 'em; no rules in breakable heaven. But ooh, whoa-oh, it's a cruel summer with you (yeah, yeah).","romantic","Lover"
"Kill Bill","SZA","I'm so mature, I'm so mature, I'm so mature. I got me a therapist to tell me there's other men. I don't want none; I just want you. If I can't have you, no one should. I might; I might kill my ex, not the best idea. His new girlfriend's next; how'd I get here? I might kill my ex; I still love him though. Rather be in jail than alone. I get the sense that it's a lost cause; I get the sense that you might really love her. This text gon' be evidence; this text is evidence. I tried to ration with you; no murders or crimes of passion, but damn. You was out of reach; you was at the farmer's market with your perfect peach. Now I'm in the basement planning home invasion. Now you laying face-down got me singing over a beat.","angry","SOS"
"Last Last","Burna Boy","Last last, you go bow for the result o. Nothing to discuss o 'cause I dey win by default. And without any doubt o, Omo me I be adult o. I no go fit take your, I no go fit take your insult o. Omo mind as you dey talk o. I put my life into my job and I know I’m in trouble. She manipulate my love o mm, I no holy and I no denge pose like Baba Fryo. My eye o don cry o, I need Igbo and shayo (Shayo).","sad","Damini"
"Anti-Hero","Taylor Swift","I should not be left to my own devices. They come with prices and vices. I end up in crisis (tale as old as time). I wake up screaming from dreaming. One day I'll watch as you're leaving 'cause you got tired of my scheming (for the last time). It's me hi, I'm the problem, it's me. At tea time everybody agrees. I'll stare directly at the sun but never in the mirror. It must be exhausting always rooting for the anti-hero. Sometimes I feel like everybody is a sexy baby and I'm a monster on the hill. Too big to hang out, slowly lurching toward your favorite city. Pierced through the heart but never killed.","introspective","Midnights"
"Unholy","Sam Smith & Kim Petras","Mummy don't know daddy's getting hot at the body shop doing something unholy. He's sat back while she's dropping it; she be popping it. Yeah, she put it down slowly. Oh-ee-oh-ee-oh; he left his kids at Ho-ee-oh-ee-ome so he can get that. Mummy don't know daddy's getting hot at the body shop doing something unholy (woo). Mmm daddy, daddy if you want it drop the add'y (yuh). Give me love, give me Fendi, my Balenciaga daddy. You gon' need to bag it up 'cause I'm spending on Rodeo (woo). You can watch me back it up; I'll be gone in the am. And he get me Prada, get me Miu Miu like Rihanna (ah). He always call me 'cause I never cause no drama. And when you want it, baby, I know I got you covered. And when you need it, baby, just jump under the covers.","mysterious","Gloria"
"Girl You Know It's True","Milli Vanilli","So what are you doing back? Well I sat back and thought about the things we used to do. It really meant a lot to me; you mean a lot to me. I really mean that much to you? Girl you know it's true. I'm in love with you girl 'cause you're on my mind. You're the one I think about most every time. And when you pack a smile in everything you do, don't you understand girl this love is true? To make you all mine, all mine is my desire. 'Cause you contain a quality that I admire. To put it plain and simple, you rule my world. So try to understand, I'm in love girl, I'm so in love girl; I'm just in love girl and this is true.","romantic","All Or Nothing"
